"","geography","weekEnding","expectedDeaths","allDeaths","excessDeaths","excessDeathsLo","excessDeathsHi","cv19Deaths"
"1","United States","2020-01-04",63633,60173,-3460,0,0,0
"2","United States","2020-01-11",64012,60744,-3268,0,0,1
"3","United States","2020-01-18",63840,59372,-4468,0,0,2
"4","United States","2020-01-25",63438,59162,-4276,0,0,2
"5","United States","2020-02-01",62292,58834,-3458,0,0,0
"6","United States","2020-02-08",61612,59482,-2130,0,0,2
"7","United States","2020-02-15",61062,58824,-2238,0,0,2
"8","United States","2020-02-22",60430,58912,-1518,0,0,6
"9","United States","2020-02-29",59698,59343,-355,0,0,9
"10","United States","2020-03-07",59305,59695,390,0,390,37
"11","United States","2020-03-14",59072,58672,-400,0,0,60
"12","United States","2020-03-21",58527,59241,714,0,714,587
"13","United States","2020-03-28",58081,63027,4946,3025,4946,3214
"14","United States","2020-04-04",57615,72294,14679,12870,14679,10127
"15","United States","2020-04-11",56947,79113,22166,20489,22166,16317
"16","United States","2020-04-18",56560,76809,20249,18423,20249,17200
"17","United States","2020-04-25",55805,73913,18108,16353,18108,15549
"18","United States","2020-05-02",55015,69315,14300,12476,14300,13214
"19","United States","2020-05-09",54440,66814,12374,10646,12374,11231
"20","United States","2020-05-16",53777,64479,10702,9080,10702,9234
"21","United States","2020-05-23",53543,61643,8100,6370,8100,7248
"22","United States","2020-05-30",53204,59682,6478,4831,6478,6170
"23","United States","2020-06-06",53027,58908,5881,4141,5881,5055
"24","United States","2020-06-13",52840,58034,5194,3506,5194,4230
"25","United States","2020-06-20",52689,57999,5310,3687,5310,3847
"26","United States","2020-06-27",52740,58522,5782,4068,5782,3841
"27","United States","2020-07-04",52461,59825,7364,5709,7364,4551
"28","United States","2020-07-11",52228,61945,9717,7989,9717,5785
"29","United States","2020-07-18",52096,63194,11098,9417,11098,7192
"30","United States","2020-07-25",51864,64266,12402,10772,12402,8241
"31","United States","2020-08-01",51964,64235,12271,10528,12271,8302
"32","United States","2020-08-08",51903,63719,11816,10152,11816,7867
"33","United States","2020-08-15",51871,63644,11773,10013,11773,7261
"34","United States","2020-08-22",51984,62583,10599,8863,10599,6383
"35","United States","2020-08-29",51997,61125,9128,7368,9128,5746
"36","United States","2020-09-05",52160,60260,8100,6450,8100,5015
"37","United States","2020-09-12",52437,59665,7228,5508,7228,4626
"38","United States","2020-09-19",52606,59740,7134,5433,7134,4276
"39","United States","2020-09-26",52710,60613,7903,6157,7903,4299
"40","United States","2020-10-03",52894,59802,6908,5008,6908,4241
"41","United States","2020-10-10",52904,61799,8895,7052,8895,4817
"42","United States","2020-10-17",53169,60643,7474,5642,7474,5198
"43","United States","2020-10-24",53311,62209,8898,7032,8898,5995
"44","United States","2020-10-31",53550,63425,9875,8117,9875,7022
"45","United States","2020-11-07",53858,67612,13754,11887,13754,8756
"46","United States","2020-11-14",54066,68823,14757,12875,14757,10646
"47","United States","2020-11-21",54465,71677,17212,15338,17212,13356
"48","United States","2020-11-28",54913,73305,18392,16511,18392,15619
"49","United States","2020-12-05",55530,77429,21899,20075,21899,18560
"50","United States","2020-12-12",55990,82006,26016,24247,26016,20921
"51","United States","2020-12-19",56904,82938,26034,24312,26034,22322
"52","United States","2020-12-26",57905,84390,26485,24630,26485,23361
"53","United States","2021-01-02",58687,87008,28321,26417,28321,24824
"54","United States","2021-01-09",59167,86982,27815,26042,27815,25946
"55","United States","2021-01-16",59678,87311,27633,25738,27633,25657
"56","United States","2021-01-23",59739,83541,23802,21920,23802,23630
"57","United States","2021-01-30",59755,79087,19332,17519,19332,20264
"58","United States","2021-02-06",59743,76414,16671,14900,16671,16964
"59","United States","2021-02-13",59418,71418,12000,10273,12000,13457
"60","United States","2021-02-20",58948,69418,10470,8490,10470,10784
"61","United States","2021-02-27",58695,66646,7951,5927,7951,8618
"62","United States","2021-03-06",58171,63581,5410,3411,5410,6693
"63","United States","2021-03-13",57969,61721,3752,1991,3752,5681
"64","United States","2021-03-20",57569,60225,2656,852,2656,4868
"65","United States","2021-03-27",56954,60624,3670,1715,3670,4431
"66","United States","2021-04-03",56627,58831,2204,288,2204,4163
"67","United States","2021-04-10",56177,61051,4874,3030,4874,4265
"68","United States","2021-04-17",55758,59027,3269,1553,3269,4410
"69","United States","2021-04-24",55328,60133,4805,3072,4805,4540
"70","United States","2021-05-01",54665,59496,4831,3021,4831,4121
"71","United States","2021-05-08",54244,57700,3456,1627,3456,3935
"72","United States","2021-05-15",53917,57260,3343,1607,3343,3632
"73","United States","2021-05-22",53573,57552,3979,2325,3979,3178
"74","United States","2021-05-29",53264,56007,2743,1084,2743,2723
"75","United States","2021-06-05",52926,56416,3490,1732,3490,2310
"76","United States","2021-06-12",52840,56242,3402,1602,3402,2003
"77","United States","2021-06-19",52867,56279,3412,1676,3412,1740
"78","United States","2021-06-26",52881,55982,3101,1461,3101,1597
"79","United States","2021-07-03",52620,56380,3760,2097,3760,1498
"80","United States","2021-07-10",52359,55957,3598,1854,3598,1596
"81","United States","2021-07-17",52230,55900,3670,1876,3670,1918
"82","United States","2021-07-24",52249,57261,5012,3265,5012,2663
"83","United States","2021-07-31",52107,59049,6942,5243,6942,3909
"84","United States","2021-08-07",52041,62225,10184,8497,10184,6103
"85","United States","2021-08-14",51877,65099,13222,11412,13222,8697
"86","United States","2021-08-21",52061,66963,14902,13038,14902,10982
"87","United States","2021-08-28",52145,67239,15094,13326,15094,11977
"88","United States","2021-09-04",52397,63656,11259,9535,11259,10815
"89","United States","2021-09-11",52717,54197,1480,0,1480,7342
